Resuming training from epoch 1, with loss 1.6273
Epoch [23/200], Step [300/938], Loss: 0.3641
Epoch [23/200], Step [400/938], Loss: 0.3215
Epoch [23/200], Step [500/938], Loss: 0.3618
Epoch [23/200], Step [600/938], Loss: 0.4742
Epoch [23/200], Step [700/938], Loss: 0.3569
Epoch [23/200], Step [800/938], Loss: 0.4927
Epoch [23/200], Step [900/938], Loss: 0.2438
Epoch [24/200], Step [0/938], Loss: 0.2755
Epoch [24/200], Step [100/938], Loss: 0.1795
Epoch [24/200], Step [200/938], Loss: 0.2306
Epoch [24/200], Step [300/938], Loss: 0.3378
Epoch [24/200], Step [400/938], Loss: 0.3145
Epoch [24/200], Step [500/938], Loss: 0.3455
Epoch [24/200], Step [600/938], Loss: 0.4775
Epoch [24/200], Step [700/938], Loss: 0.3469
Epoch [24/200], Step [800/938], Loss: 0.4590
Epoch [24/200], Step [900/938], Loss: 0.2414
Epoch [25/200], Step [0/938], Loss: 0.2789
Epoch [25/200], Step [100/938], Loss: 0.1630
Epoch [25/200], Step [200/938], Loss: 0.2001
Epoch [25/200], Step [300/938], Loss: 0.3480
Epoch [25/200], Step [400/938], Loss: 0.3246
Epoch [25/200], Step [500/938], Loss: 0.3129
Epoch [25/200], Step [600/938], Loss: 0.4646
Epoch [25/200], Step [700/938], Loss: 0.3353
Epoch [25/200], Step [800/938], Loss: 0.4687
Epoch [25/200], Step [900/938], Loss: 0.2473
Epoch [26/200], Step [0/938], Loss: 0.2848
Epoch [26/200], Step [100/938], Loss: 0.1807
Epoch [26/200], Step [200/938], Loss: 0.2393
Epoch [26/200], Step [300/938], Loss: 0.3409
Epoch [26/200], Step [400/938], Loss: 0.3205
Epoch [26/200], Step [500/938], Loss: 0.3487
Epoch [26/200], Step [600/938], Loss: 0.4475
Epoch [26/200], Step [700/938], Loss: 0.3460
Epoch [26/200], Step [800/938], Loss: 0.4977
Epoch [26/200], Step [900/938], Loss: 0.2967
Resuming training from epoch 27, with loss 0.2262
Epoch [28/200], Step [0/938], Loss: 0.3148
Epoch [28/200], Step [100/938], Loss: 0.2011
Epoch [28/200], Step [200/938], Loss: 0.2733
Epoch [28/200], Step [300/938], Loss: 0.3492
Epoch [28/200], Step [400/938], Loss: 0.3756
Epoch [28/200], Step [500/938], Loss: 0.3196
Epoch [28/200], Step [600/938], Loss: 0.5364
Epoch [28/200], Step [700/938], Loss: 0.4413
Epoch [28/200], Step [800/938], Loss: 0.5711
Epoch [28/200], Step [900/938], Loss: 0.3080
Epoch [29/200], Step [0/938], Loss: 0.3832
Epoch [29/200], Step [100/938], Loss: 0.2175
Epoch [29/200], Step [200/938], Loss: 0.2778
Epoch [29/200], Step [300/938], Loss: 0.3569
Epoch [29/200], Step [400/938], Loss: 0.3402
Epoch [29/200], Step [500/938], Loss: 1.4433
Epoch [29/200], Step [600/938], Loss: 1.1374
Epoch [29/200], Step [700/938], Loss: 0.8080
Epoch [29/200], Step [800/938], Loss: 0.8105
Epoch [29/200], Step [900/938], Loss: 0.5849
Epoch [30/200], Step [0/938], Loss: 0.6995
Epoch [30/200], Step [100/938], Loss: 0.3021
Epoch [30/200], Step [200/938], Loss: 0.4399
Epoch [30/200], Step [300/938], Loss: 0.5192
Epoch [30/200], Step [400/938], Loss: 0.4795
Epoch [30/200], Step [500/938], Loss: 0.5135
Epoch [30/200], Step [600/938], Loss: 0.7835
Epoch [30/200], Step [700/938], Loss: 0.5974
Epoch [30/200], Step [800/938], Loss: 0.8045
Epoch [30/200], Step [900/938], Loss: 0.5001
Epoch [31/200], Step [0/938], Loss: 0.4827
Epoch [31/200], Step [100/938], Loss: 0.2719
Epoch [31/200], Step [200/938], Loss: 0.3879
Epoch [31/200], Step [300/938], Loss: 0.5011
Epoch [31/200], Step [400/938], Loss: 0.4498
Epoch [31/200], Step [500/938], Loss: 0.4494
Epoch [31/200], Step [600/938], Loss: 0.5568
Epoch [31/200], Step [700/938], Loss: 0.4511
Epoch [31/200], Step [800/938], Loss: 0.6105
Epoch [31/200], Step [900/938], Loss: 0.3289
Epoch [32/200], Step [0/938], Loss: 0.3609
Epoch [32/200], Step [100/938], Loss: 0.2257
Epoch [32/200], Step [200/938], Loss: 0.3239
Epoch [32/200], Step [300/938], Loss: 0.3892
Epoch [32/200], Step [400/938], Loss: 0.3919
Epoch [32/200], Step [500/938], Loss: 0.3883
Epoch [32/200], Step [600/938], Loss: 0.5480
Epoch [32/200], Step [700/938], Loss: 0.3764
Epoch [32/200], Step [800/938], Loss: 0.5598
Epoch [32/200], Step [900/938], Loss: 0.3206
Epoch [33/200], Step [0/938], Loss: 0.3342
Epoch [33/200], Step [100/938], Loss: 0.2217
Epoch [33/200], Step [200/938], Loss: 0.2716
Epoch [33/200], Step [300/938], Loss: 0.4082
Epoch [33/200], Step [400/938], Loss: 0.3814
Epoch [33/200], Step [500/938], Loss: 0.4203
Epoch [33/200], Step [600/938], Loss: 0.6082
Epoch [33/200], Step [700/938], Loss: 0.4150
Epoch [33/200], Step [800/938], Loss: 0.5899
Epoch [33/200], Step [900/938], Loss: 0.3236
Epoch [34/200], Step [0/938], Loss: 0.4423
Epoch [34/200], Step [100/938], Loss: 0.2416
Epoch [34/200], Step [200/938], Loss: 0.2786
Epoch [34/200], Step [300/938], Loss: 0.4073
Epoch [34/200], Step [400/938], Loss: 0.4604
Epoch [34/200], Step [500/938], Loss: 0.4671
Epoch [34/200], Step [600/938], Loss: 0.5914
Epoch [34/200], Step [700/938], Loss: 0.4256
Epoch [34/200], Step [800/938], Loss: 0.6186
Epoch [34/200], Step [900/938], Loss: 0.3761
Epoch [35/200], Step [0/938], Loss: 0.4064
Epoch [35/200], Step [100/938], Loss: 0.2290
Epoch [35/200], Step [200/938], Loss: 0.3193
Epoch [35/200], Step [300/938], Loss: 0.4584
Epoch [35/200], Step [400/938], Loss: 0.5089
Epoch [35/200], Step [500/938], Loss: 0.4441
Epoch [35/200], Step [600/938], Loss: 0.5858
Epoch [35/200], Step [700/938], Loss: 0.4700
Epoch [35/200], Step [800/938], Loss: 0.6495
Epoch [35/200], Step [900/938], Loss: 0.4273
Epoch [36/200], Step [0/938], Loss: 0.3538
Epoch [36/200], Step [100/938], Loss: 0.2573
Epoch [36/200], Step [200/938], Loss: 0.3310
Epoch [36/200], Step [300/938], Loss: 0.4700
Epoch [36/200], Step [400/938], Loss: 0.4489
Epoch [36/200], Step [500/938], Loss: 1.0383
Epoch [36/200], Step [600/938], Loss: 0.7682
Epoch [36/200], Step [700/938], Loss: 0.6120
Epoch [36/200], Step [800/938], Loss: 0.6821
Epoch [36/200], Step [900/938], Loss: 0.4721
Epoch [37/200], Step [0/938], Loss: 0.3721
Epoch [37/200], Step [100/938], Loss: 0.2699
Epoch [37/200], Step [200/938], Loss: 0.3318
Epoch [37/200], Step [300/938], Loss: 0.4778
Epoch [37/200], Step [400/938], Loss: 0.4729
Epoch [37/200], Step [500/938], Loss: 0.4626
Epoch [37/200], Step [600/938], Loss: 0.6290
Epoch [37/200], Step [700/938], Loss: 0.4647
Epoch [37/200], Step [800/938], Loss: 0.6530
Epoch [37/200], Step [900/938], Loss: 0.4161
Epoch [38/200], Step [0/938], Loss: 0.3831
Epoch [38/200], Step [100/938], Loss: 0.2818
Epoch [38/200], Step [200/938], Loss: 0.3467
Epoch [38/200], Step [300/938], Loss: 0.4761
Epoch [38/200], Step [400/938], Loss: 0.4367
Epoch [38/200], Step [500/938], Loss: 0.4468
Epoch [38/200], Step [600/938], Loss: 0.6917
Epoch [38/200], Step [700/938], Loss: 0.4734
Epoch [38/200], Step [800/938], Loss: 0.6369
Epoch [38/200], Step [900/938], Loss: 0.4166
